Role,Skills
Data Analyst,"Python,SQL,Excel,Power BI,Statistics,Data Analysis"
Data Scientist,"Python,Machine Learning,SQL,Pandas,NumPy,Statistics,Scikit-learn"
ML Engineer,"Python,Machine Learning,TensorFlow,PyTorch,Docker,Linux,Git"
AI Engineer,"Python,Machine Learning,Deep Learning,NLP,PyTorch,Docker,Git"
Backend Developer,"Java,Spring Boot,REST API,SQL,Git,Docker,Hibernate"
Cloud Engineer,"AWS,Azure,Docker,Linux,Git"
Python Developer,"Python,Flask,Django,SQL,Git,REST API"
Business Analyst,"Excel,SQL,Power BI,Tableau,Data Analysis"
Data Engineer,"Python,SQL,Spark,Hadoop,Airflow,AWS,Docker"
NLP Engineer,"Python,NLP,spaCy,NLTK,Transformers,Deep Learning,PyTorch"
Machine Learning Engineer,"Python,Machine Learning,TensorFlow,PyTorch,Docker,Linux,Git"
GenAI Engineer,"Python,RAG,FAISS,LangChain,LangGraph,Transformers,LLM"
Java Developer,"Java,Spring Boot,Hibernate,REST API,SQL,Git,Maven"
Software Engineer,"Java,Python,SQL,Git,Docker,Data Structures"
Full Stack Developer,"JavaScript,React,Java,Spring Boot,REST API,SQL,Git,Docker"
