Role,Job Description
Data Analyst,"Looking for a Data Analyst with Python SQL Excel Power BI Statistics Pandas NumPy data analysis and data visualization skills."
Data Scientist,"Looking for a Data Scientist with Python Machine Learning SQL Pandas NumPy Statistics Scikit-learn TensorFlow Deep Learning and model development skills."
Machine Learning Engineer,"Looking for a Machine Learning Engineer with Python Machine Learning TensorFlow PyTorch Docker Linux Git and model deployment skills."
AI Engineer,"Looking for an AI Engineer with Python Machine Learning Deep Learning NLP Transformers PyTorch Docker and Git skills."
Backend Developer,"Looking for a Backend Developer with Java Spring Boot REST API SQL Git Docker and Hibernate skills."
Python Developer,"Looking for a Python Developer with Python Flask Django SQL Git REST API and backend development skills."
Cloud Engineer,"Looking for a Cloud Engineer with AWS Azure Docker Linux Kubernetes Git and CI/CD skills."
Business Analyst,"Looking for a Business Analyst with Excel SQL Power BI Tableau Data Analysis Business Intelligence and analytical skills."
Data Engineer,"Looking for a Data Engineer with Python SQL Spark Hadoop Airflow AWS Docker and ETL skills."
NLP Engineer,"Looking for an NLP Engineer with Python NLP spaCy NLTK Transformers Deep Learning PyTorch and HuggingFace skills."
Java Developer,"Looking for a Java Developer with Java Spring Boot Hibernate REST API SQL Git and Maven skills."
Software Engineer,"Looking for a Software Engineer with Java Python SQL Git Docker and Data Structures skills."
Full Stack Developer,"Looking for a Full Stack Developer with JavaScript React Java Spring Boot REST API SQL Git and Docker skills."
GenAI Engineer,"Looking for a GenAI Engineer with Python RAG FAISS LangChain LangGraph Transformers and LLM skills."
